2016 BirdLife/HBW/IUCN scientific name;2016 BirdLife/HBW/IUCN English name;Sequence;IUCN Red List (2016);EU27 Red List (2015);1999 EU list (Voous);1999 EU list (Sibley & Monroe);Reason for change (1999 vs 2015);Reason for change (2015 vs 2018);Occurrence in EU;Birds Directive synonym;Annex I ;Annex II/A;Annex II/B;Annex III/A;Annex III/B;Annex restrictions & notes;Migratory status in EU;Justification for migratory status;CMS;AEWA;Raptors MoU;AEMLAP;CITES;Council Reg. No 338/97;IOC (v.7.2) species;IOC (v.7.2) name;Clements (v.2016) species;Clements (v.2016) name;Howard & Moore (v.4) species;Howard & Moore (v.4) name;
Sterna hirundo;Common Tern;2650;LC;LC;Sterna hirundo;Sterna hirundo;;;N, h + M;;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Sterna hirundo;Yes;Sterna hirundo;Yes;Sterna hirundo;
Sterna paradisaea;Arctic Tern;2652;LC;LC;Sterna paradisaea;Sterna paradisaea;;;N + M;;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Sterna paradisaea;Yes;Sterna paradisaea;Yes;Sterna paradisaea;
Thalasseus sandvicensis;Sandwich Tern;2661;LC;LC;Sterna sandvicensis;Sterna sandvicensis;Genus change;;N, h + M + W;Sterna sandvicensis;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;No;Thalasseus sandvicensis;Yes;Thalasseus sandvicensis;Yes;Thalasseus sandvicensis;
Stercorarius longicaudus;Long-tailed Jaeger;2664;LC;LC;Stercorarius longicaudus;Stercorarius longicaudus;;;N + M;;;;;;;;Migratory;Listed by AEWA;;AEWA;;;;;Yes;Stercorarius longicaudus;Yes;Stercorarius longicaudus;Yes;Stercorarius longicaudus;
Stercorarius parasiticus;Arctic Jaeger;2665;LC;EN;Stercorarius parasiticus;Stercorarius parasiticus;;;N, h + M;;;;;;;;Migratory;Not listed by CMS or AEWA, but a regular breeding migrant to the EU;;;;;;;Yes;Stercorarius parasiticus;Yes;Stercorarius parasiticus;Yes;Stercorarius parasiticus;
Stercorarius pomarinus;Pomarine Jaeger;2666;LC;NE;Stercorarius pomarinus;Stercorarius pomarinus;;;M;;;;;;;;Migratory;Not listed by CMS or AEWA, but a regular non-breeding migrant to the EU;;;;;;;Yes;Stercorarius pomarinus;Yes;Stercorarius pomarinus;Yes;Stercorarius pomarinus;
Catharacta skua;Great Skua;2667;LC;LC;Catharacta skua;Catharacta skua;;;N, H + M +W;;;;;;;;Migratory;Listed by AEWA;;AEWA;;;;;Yes;Stercorarius skua;Yes;Stercorarius skua;Yes;Stercorarius skua;
Fratercula arctica;Atlantic Puffin;2673;VU;NT;Fratercula arctica;Fratercula arctica;;;N, H + M + W;;;;;;;;Migratory;Listed by AEWA;;AEWA;;;;;Yes;Fratercula arctica;Yes;Fratercula arctica;Yes;Fratercula arctica;
Cepphus grylle;Black Guillemot;2683;LC;VU;Cepphus grylle;Cepphus grylle;;;N, H + W;;;;;;;;Migratory;Listed by AEWA;;AEWA;;;;;Yes;Cepphus grylle;Yes;Cepphus grylle;Yes;Cepphus grylle;
Alca torda;Razorbill;2691;NT;LC;Alca torda;Alca torda;;;N, H + M + W;;;;;;;;Migratory;Listed by AEWA;;AEWA;;;;;Yes;Alca torda;Yes;Alca torda;Yes;Alca torda;
