2016 BirdLife/HBW/IUCN scientific name;2016 BirdLife/HBW/IUCN English name;Sequence;IUCN Red List (2016);EU27 Red List (2015);1999 EU list (Voous);1999 EU list (Sibley & Monroe);Reason for change (1999 vs 2015);Reason for change (2015 vs 2018);Occurrence in EU;Birds Directive synonym;Annex I ;Annex II/A;Annex II/B;Annex III/A;Annex III/B;Annex restrictions & notes;Migratory status in EU;Justification for migratory status;CMS;AEWA;Raptors MoU;AEMLAP;CITES;Council Reg. No 338/97;IOC (v.7.2) species;IOC (v.7.2) name;Clements (v.2016) species;Clements (v.2016) name;Howard & Moore (v.4) species;Howard & Moore (v.4) name;
Coturnix coturnix;Common Quail;231;LC;LC;Coturnix coturnix;Coturnix coturnix;;;N, h + M;;;;II/B;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Coturnix coturnix;Yes;Coturnix coturnix;Yes;Coturnix coturnix;
Alectoris graeca;Rock Partridge;246;NT;VU;Alectoris graeca;Alectoris graeca;;;N, H;;I;II/A;;;;;Non-migratory;;;;;;;;Yes;Alectoris graeca;Yes;Alectoris graeca;Yes;Alectoris graeca;
Alectoris chukar;Chukar;247;LC;LC;Alectoris chukar;Alectoris chukar;;;N, H;;;;II/B;;;;Non-migratory;;;;;;;;Yes;Alectoris chukar;Yes;Alectoris chukar;Yes;Alectoris chukar;
Alectoris barbara;Barbary Partridge;250;LC;LC;Alectoris barbara;Alectoris barbara;;;N, H;;I;;II/B;III/A;;;Non-migratory;;;;;;;;Yes;Alectoris barbara;Yes;Alectoris barbara;Yes;Alectoris barbara;
Alectoris rufa;Red-legged Partridge;251;LC;LC;Alectoris rufa;Alectoris rufa;;;N, H + Int (N, H);;;II/A;;III/A;;;Non-migratory;;;;;;;;Yes;Alectoris rufa;Yes;Alectoris rufa;Yes;Alectoris rufa;
Francolinus francolinus;Black Francolin;285;LC;LC;Francolinus francolinus;Francolinus francolinus;;;N, H;;;;II/B;;;;Non-migratory;;;;;;;;Yes;Francolinus francolinus;Yes;Francolinus francolinus;Yes;Francolinus francolinus;
Phasianus colchicus;Common Pheasant;330;LC;LC;Phasianus colchicus;Phasianus colchicus;;;N, H + Int (N, H);;;II/A;;III/A;;;Non-migratory;;;;;;;;Yes;Phasianus colchicus;Yes;Phasianus colchicus;Yes;Phasianus colchicus;
Perdix perdix;Grey Partridge;348;LC;LC;Perdix perdix;Perdix perdix;;;N, H;;I *;II/A;;III/A;;* P. p. italica + P. p. hispaniensis only;Non-migratory;;;;;;;;Yes;Perdix perdix;Yes;Perdix perdix;Yes;Perdix perdix;
Bonasa bonasia;Hazel Grouse;354;LC;LC;Bonasa bonasia;Bonasa bonasia;;;N, H;;I;;II/B;;;;Non-migratory;;;;;;;;Yes;Tetrastes bonasia;Yes;Bonasa bonasia;Yes;Tetrastes bonasia;
Lagopus lagopus;Willow Grouse;356;LC;VU;Lagopus lagopus;Lagopus lagopus;Includes scoticus;;N, H;;;II/A *;II/B **;III/A ***;;"* L. l. scoticus + L. l. hibernicus only; ** L. l. lagopus only; *** L. l. lagopus, scoticus + hibernicus only";Non-migratory;;;;;;;;Yes;Lagopus lagopus;Yes;Lagopus lagopus;Yes;Lagopus lagopus;
Lagopus muta;Rock Ptarmigan;357;LC;VU;Lagopus mutus;Lagopus mutus;Gender agreement (David & Gosselin 2002);;N, H;Lagopus mutus;I *;II/A;;;III/B;* L. m. pyrenaicus + L. m. helveticus only;Non-migratory;;;;;;;;Yes;Lagopus muta;Yes;Lagopus muta;Yes;Lagopus muta;
Tetrao urogallus;Western Capercaillie;364;LC;LC;Tetrao urogallus;Tetrao urogallus;;;N, H + Int (N, H);;I;;II/B;;III/B;;Non-migratory;;;;;;;;Yes;Tetrao urogallus;Yes;Tetrao urogallus;Yes;Tetrao urogallus;
Lyrurus tetrix;Black Grouse;366;LC;LC;Tetrao tetrix;Tetrao tetrix;Genus change;;N, H;Tetrao tetrix;I *;;II/B;;III/B **;"* T. t. tetrix only; ** T. t. britannicus only";Non-migratory;;;;;;;;Yes;Lyrurus tetrix;Yes;Tetrao tetrix;Yes;Lyrurus tetrix;
Oxyura leucocephala;White-headed Duck;393;EN;VU;Oxyura leucocephala;Oxyura leucocephala;;;N, H + W;;I;;;;;;Migratory;Listed by CMS and AEWA;I/II;AEWA;;;II;A;Yes;Oxyura leucocephala;Yes;Oxyura leucocephala;Yes;Oxyura leucocephala;
Cygnus olor;Mute Swan;401;LC;LC;Cygnus olor;Cygnus olor;;;N, H + W + Int (N, H);;;;II/B;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Cygnus olor;Yes;Cygnus olor;Yes;Cygnus olor;
Cygnus cygnus;Whooper Swan;403;LC;LC;Cygnus cygnus;Cygnus cygnus;;;N, H + W;;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Cygnus cygnus;Yes;Cygnus cygnus;Yes;Cygnus cygnus;
Cygnus columbianus;Tundra Swan;404;LC;EN;Cygnus columbianus;Cygnus columbianus;Includes bewickii;;W;Cygnus bewickii;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Cygnus columbianus;Yes;Cygnus columbianus;Yes;Cygnus columbianus;
Branta bernicla;Brent Goose;405;LC;LC;Branta bernicla;Branta bernicla;Includes hrota and nigricans;;W;;;;II/B;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Branta bernicla;Yes;Branta bernicla;Yes;Branta bernicla;
Branta leucopsis;Barnacle Goose;406;LC;LC;Branta leucopsis;Branta leucopsis;;;N, H + W;;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Branta leucopsis;Yes;Branta leucopsis;Yes;Branta leucopsis;
Branta ruficollis;Red-breasted Goose;407;VU;NT;Branta ruficollis;Branta ruficollis;;;W;;I;;;;;;Migratory;Listed by CMS and AEWA;I/II;AEWA;;;II;A;Yes;Branta ruficollis;Yes;Branta ruficollis;Yes;Branta ruficollis;
Anser anser;Greylag Goose;415;LC;LC;Anser anser;Anser anser;;;N, H + W;;;II/A;;;III/B;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Anser anser;Yes;Anser anser;Yes;Anser anser;
Anser fabalis;Bean Goose;417;LC;LC;Anser fabalis;Anser fabalis;Includes serrirostris;;N, H + W;;;II/A;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;No;Anser fabalis/serrirostris;No;Anser fabalis/serrirostris;Yes;Anser fabalis;
Anser brachyrhynchus;Pink-footed Goose;418;LC;LC;Anser brachyrhynchus;Anser brachyrhynchus;;;W;;;;II/B;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Anser brachyrhynchus;Yes;Anser brachyrhynchus;Yes;Anser brachyrhynchus;
Anser albifrons;Greater White-fronted Goose;419;LC;LC;Anser albifrons;Anser albifrons;Includes flavirostris;;W;;I *;;II/B;;III/B **;"* A. a. flavirostris only; ** A. a. albifrons only";Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Anser albifrons;Yes;Anser albifrons;Yes;Anser albifrons;
Anser erythropus;Lesser White-fronted Goose;420;VU;CR;Anser erythropus;Anser erythropus;;;N, H + W;;I;;;;;;Migratory;Listed by CMS and AEWA;I/II;AEWA;;;;;Yes;Anser erythropus;Yes;Anser erythropus;Yes;Anser erythropus;
Clangula hyemalis;Long-tailed Duck;421;VU;VU;Clangula hyemalis;Clangula hyemalis;;;N, H + W;;;;II/B;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Clangula hyemalis;Yes;Clangula hyemalis;Yes;Clangula hyemalis;
Somateria spectabilis;King Eider;423;LC;NE;Somateria spectabilis;Somateria spectabilis;;;W;;;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Somateria spectabilis;Yes;Somateria spectabilis;Yes;Somateria spectabilis;
Somateria mollissima;Common Eider;424;NT;EN;Somateria mollissima;Somateria mollissima;;;N, H + W;;;;II/B;;III/B;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Somateria mollissima;Yes;Somateria mollissima;Yes;Somateria mollissima;
Polysticta stelleri;Steller's Eider;425;VU;EN;Polysticta stelleri;Polysticta stelleri;;;W;;I;;;;;;Migratory;Listed by CMS and AEWA;I/II;AEWA;;;;;Yes;Polysticta stelleri;Yes;Polysticta stelleri;Yes;Polysticta stelleri;
Melanitta fusca;Velvet Scoter;427;VU;VU;Melanitta fusca;Melanitta fusca;;;N, H + W;;;;II/B;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Melanitta fusca;No;Melanitta fusca;No;Melanitta fusca;
Melanitta nigra;Common Scoter;430;LC;LC;Melanitta nigra;Melanitta nigra;;;N, H + M + W;;;;II/B;;III/B;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Melanitta nigra;Yes;Melanitta nigra;Yes;Melanitta nigra;
Bucephala clangula;Common Goldeneye;433;LC;LC;Bucephala clangula;Bucephala clangula;;;N, H + W;;;;II/B;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Bucephala clangula;Yes;Bucephala clangula;Yes;Bucephala clangula;
Mergellus albellus;Smew;435;LC;LC;Mergellus albellus;Mergellus albellus;;;N, H + W;Mergus albellus;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Mergellus albellus;Yes;Mergellus albellus;Yes;Mergellus albellus;
Mergus merganser;Goosander;437;LC;LC;Mergus merganser;Mergus merganser;;;N, H + W;;;;II/B;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Mergus merganser;Yes;Mergus merganser;Yes;Mergus merganser;
Mergus serrator;Red-breasted Merganser;439;LC;VU;Mergus serrator;Mergus serrator;;;N, H + W;;;;II/B;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Mergus serrator;Yes;Mergus serrator;Yes;Mergus serrator;
Tadorna tadorna;Common Shelduck;454;LC;LC;Tadorna tadorna;Tadorna tadorna;;;N, H + M + W;;;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Tadorna tadorna;Yes;Tadorna tadorna;Yes;Tadorna tadorna;
Tadorna ferruginea;Ruddy Shelduck;455;LC;NT°;Tadorna ferruginea;Tadorna ferruginea;;;N, h;;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Tadorna ferruginea;Yes;Tadorna ferruginea;Yes;Tadorna ferruginea;
Marmaronetta angustirostris;Marbled Teal;476;VU;CR;Marmaronetta angustirostris;Marmaronetta angustirostris;;;N, h;;I;;;;;;Migratory;Listed by CMS and AEWA;I/II;AEWA;;;;;Yes;Marmaronetta angustirostris;Yes;Marmaronetta angustirostris;Yes;Marmaronetta angustirostris;
Netta rufina;Red-crested Pochard;478;LC;LC;Netta rufina;Netta rufina;;;N, H + W;;;;II/B;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Netta rufina;Yes;Netta rufina;Yes;Netta rufina;
Aythya ferina;Common Pochard;481;VU;VU;Aythya ferina;Aythya ferina;;;N, H + M + W;;;II/A;;;III/B;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Aythya ferina;Yes;Aythya ferina;Yes;Aythya ferina;
Aythya nyroca;Ferruginous Duck;487;NT;LC;Aythya nyroca;Aythya nyroca;;;N, H + M + W;;I;;;;;;Migratory;Listed by CMS and AEWA;I/II;AEWA;;;;A;Yes;Aythya nyroca;Yes;Aythya nyroca;Yes;Aythya nyroca;
Aythya fuligula;Tufted Duck;490;LC;LC;Aythya fuligula;Aythya fuligula;;;N, H + M + W;;;II/A;;;III/B;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Aythya fuligula;Yes;Aythya fuligula;Yes;Aythya fuligula;
Aythya marila;Greater Scaup;491;LC;VU;Aythya marila;Aythya marila;;;N, H + W;;;;II/B;;III/B;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Aythya marila;Yes;Aythya marila;Yes;Aythya marila;
Spatula querquedula;Garganey;502;LC;VU;Anas querquedula;Anas querquedula;Genus change;;N, h + M;Anas querquedula;;II/A;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;A;Yes;Anas querquedula;Yes;Anas querquedula;Yes;Spatula querquedula;
Spatula clypeata;Northern Shoveler;509;LC;LC;Anas clypeata;Anas clypeata;Genus change;;N, H + M + W;Anas clypeata;;II/A;;;III/B;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Anas clypeata;Yes;Anas clypeata;Yes;Spatula clypeata;
Mareca strepera;Gadwall;514;LC;LC;Anas strepera;Anas strepera;Genus change;;N, H + M + W;Anas strepera;;II/A;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Anas strepera;Yes;Anas strepera;Yes;Mareca strepera;
Mareca penelope;Eurasian Wigeon;515;LC;VU;Anas penelope;Anas penelope;Genus change;;N, H + M + W;Anas penelope;;II/A;;;III/B;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Anas penelope;Yes;Anas penelope;Yes;Mareca penelope;
Anas platyrhynchos;Mallard;526;LC;LC;Anas platyrhynchos;Anas platyrhynchos;;;N, H + M + W;;;II/A;;III/A;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Anas platyrhynchos;Yes;Anas platyrhynchos;Yes;Anas platyrhynchos;
Anas acuta;Northern Pintail;542;LC;VU;Anas acuta;Anas acuta;;;N, H + M + W;;;II/A;;;III/B;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Anas acuta;Yes;Anas acuta;Yes;Anas acuta;
Anas crecca;Common Teal;546;LC;LC;Anas crecca;Anas crecca;Includes carolinensis;;N, H + M + W;;;II/A;;;III/B;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;No;Anas crecca;Yes;Anas crecca;Yes;Anas crecca;
Tachybaptus ruficollis;Little Grebe;549;LC;LC;Tachybaptus ruficollis;Tachybaptus ruficollis;;;N, H + M + W;;;;;;;;Migratory;Listed by AEWA;;AEWA;;;;;Yes;Tachybaptus ruficollis;Yes;Tachybaptus ruficollis;Yes;Tachybaptus ruficollis;
Podiceps grisegena;Red-necked Grebe;561;LC;LC;Podiceps grisegena;Podiceps grisegena;;;N, H + M + W;;;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Podiceps grisegena;Yes;Podiceps grisegena;Yes;Podiceps grisegena;
Podiceps cristatus;Great Crested Grebe;562;LC;LC;Podiceps cristatus;Podiceps cristatus;;;N, H + M + W;;;;;;;;Migratory;Listed by AEWA;;AEWA;;;;;Yes;Podiceps cristatus;Yes;Podiceps cristatus;Yes;Podiceps cristatus;
Podiceps auritus;Horned Grebe;563;VU;VU;Podiceps auritus;Podiceps auritus;;;N, H + M + W;;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Podiceps auritus;Yes;Podiceps auritus;Yes;Podiceps auritus;
Podiceps nigricollis;Black-necked Grebe;564;LC;LC;Podiceps nigricollis;Podiceps nigricollis;;;N, H + M + W;;;;;;;;Migratory;Listed by AEWA;;AEWA;;;;;Yes;Podiceps nigricollis;Yes;Podiceps nigricollis;Yes;Podiceps nigricollis;
Phoenicopterus roseus;Greater Flamingo;572;LC;LC;Phoenicopterus ruber;Phoenicopterus ruber;Split;;N, H;Phoenicopterus ruber;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;II;A;Yes;Phoenicopterus roseus;Yes;Phoenicopterus roseus;Yes;Phoenicopterus roseus;
Columba livia;Rock Dove;586;LC;LC;Columba livia;Columba livia;;;N, H;;;II/A;;;;;Non-migratory;;;;;;;A;Yes;Columba livia;Yes;Columba livia;Yes;Columba livia;
Columba oenas;Stock Dove;591;LC;LC;Columba oenas;Columba oenas;;;N, H + W;;;;II/B;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Columba oenas;Yes;Columba oenas;Yes;Columba oenas;
Columba palumbus;Common Woodpigeon;594;LC;LC;Columba palumbus;Columba palumbus;;;N, H + W;;I *;II/A;;III/A;;* C. p. azorica only;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Columba palumbus;Yes;Columba palumbus;Yes;Columba palumbus;
Columba trocaz;Madeira Laurel-pigeon;595;LC;LC;Columba trocaz;Columba trocaz;;;N, H;;I;;;;;;Non-migratory;;;;;;;;Yes;Columba trocaz;Yes;Columba trocaz;Yes;Columba trocaz;
Columba bollii;Dark-tailed Laurel-pigeon;596;LC;LC;Columba bollii;Columba bollii;;;N, H;;I;;;;;;Non-migratory;;;;;;;;Yes;Columba bollii;Yes;Columba bollii;Yes;Columba bollii;
Columba junoniae;White-tailed Laurel-pigeon;597;NT;NT;Columba junoniae;Columba junoniae;;;N, H;;I;;;;;;Non-migratory;;;;;;;;Yes;Columba junoniae;Yes;Columba junoniae;Yes;Columba junoniae;
Streptopelia turtur;European Turtle-dove;622;VU;NT;Streptopelia turtur;Streptopelia turtur;;;N + M;;;;II/B;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;A;Yes;Streptopelia turtur;Yes;Streptopelia turtur;Yes;Streptopelia turtur;
Streptopelia decaocto;Eurasian Collared-dove;628;LC;LC;Streptopelia decaocto;Streptopelia decaocto;;;N, H + W;;;;II/B;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Streptopelia decaocto;Yes;Streptopelia decaocto;Yes;Streptopelia decaocto;
Spilopelia senegalensis;Laughing Dove;639;LC;NE;Streptopelia senegalensis;Streptopelia senegalensis;Genus change;;N, H + W;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Spilopelia senegalensis;Yes;Streptopelia senegalensis;Yes;Streptopelia senegalensis;
Pterocles orientalis;Black-bellied Sandgrouse;955;LC;EN;Pterocles orientalis;Pterocles orientalis;;;N, H;;I;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Pterocles orientalis;Yes;Pterocles orientalis;Yes;Pterocles orientalis;
Pterocles alchata;Pin-tailed Sandgrouse;962;LC;LC;Pterocles alchata;Pterocles alchata;;;N, H;;I;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Pterocles alchata;Yes;Pterocles alchata;Yes;Pterocles alchata;
Caprimulgus ruficollis;Red-necked Nightjar;1050;LC;LC;Caprimulgus ruficollis;Caprimulgus ruficollis;;;N;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Caprimulgus ruficollis;Yes;Caprimulgus ruficollis;Yes;Caprimulgus ruficollis;
Caprimulgus europaeus;European Nightjar;1054;LC;LC;Caprimulgus europaeus;Caprimulgus europaeus;;;N + M;;I;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Caprimulgus europaeus;Yes;Caprimulgus europaeus;Yes;Caprimulgus europaeus;
Tachymarptis melba;Alpine Swift;1180;LC;LC;Tachymarptis melba;Tachymarptis melba;;;N + M;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Tachymarptis melba;Yes;Apus melba;Yes;Tachymarptis melba;
Apus caffer;White-rumped Swift;1184;LC;NT°;Apus caffer;Apus caffer;;;N;;I;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Apus caffer;Yes;Apus caffer;Yes;Apus caffer;
Apus affinis;Little Swift;1188;LC;VU°°;Apus affinis;Apus affinis;;;N;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Apus affinis;Yes;Apus affinis;Yes;Apus affinis;
Apus unicolor;Plain Swift;1195;LC;LC;Apus unicolor;Apus unicolor;;;N, h;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Apus unicolor;Yes;Apus unicolor;Yes;Apus unicolor;
Apus pallidus;Pallid Swift;1197;LC;LC;Apus pallidus;Apus pallidus;;;N, h;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Apus pallidus;Yes;Apus pallidus;Yes;Apus pallidus;
Apus apus;Common Swift;1198;LC;LC;Apus apus;Apus apus;;;N + M;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Apus apus;Yes;Apus apus;Yes;Apus apus;
Clamator glandarius;Great Spotted Cuckoo;1640;LC;LC;Clamator glandarius;Clamator glandarius;;;N;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Clamator glandarius;Yes;Clamator glandarius;Yes;Clamator glandarius;
Cuculus canorus;Common Cuckoo;1710;LC;LC;Cuculus canorus;Cuculus canorus;;;N + M;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Cuculus canorus;Yes;Cuculus canorus;Yes;Cuculus canorus;
Rallus aquaticus;Western Water Rail;1765;LC;LC;Rallus aquaticus;Rallus aquaticus;;;N, H + M + W;;;;II/B;;;;Migratory;Listed by AEWA;;AEWA;;;;;Yes;Rallus aquaticus;Yes;Rallus aquaticus;Yes;Rallus aquaticus;
Crex crex;Corncrake;1800;LC;LC;Crex crex;Crex crex;;;N + M;;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Crex crex;Yes;Crex crex;Yes;Crex crex;
Porzana porzana;Spotted Crake;1827;LC;LC;Porzana porzana;Porzana porzana;;;N, h + M;;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Porzana porzana;Yes;Porzana porzana;Yes;Porzana porzana;
Zapornia parva;Little Crake;1833;LC;LC;Porzana parva;Porzana parva;Genus change;;N + M;Porzana parva;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Porzana parva;Yes;Zapornia parva;Yes;Zapornia parva;
Zapornia pusilla;Baillon's Crake;1834;LC;NT°;Porzana pusilla;Porzana pusilla;Genus change;;N + M;Porzana pusilla;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Porzana pusilla;Yes;Zapornia pusilla;Yes;Zapornia pusilla;
Porphyrio porphyrio;Purple Swamphen;1853;LC;LC;Porphyrio porphyrio;Porphyrio porphyrio;Includes poliocephalus and madagascariensis;;N, H;;I;;;;;;Non-migratory;;;;;;;;No;Porphyrio porphyrio;No;Porphyrio porphyrio;Yes;Porphyrio porphyrio;
Gallinula chloropus;Common Moorhen;1867;LC;LC;Gallinula chloropus;Gallinula chloropus;;;N, H + M + W;;;;II/B;;;;Migratory;Listed by AEWA;;AEWA;;;;;Yes;Gallinula chloropus;Yes;Gallinula chloropus;Yes;Gallinula chloropus;
Fulica cristata;Red-knobbed Coot;1876;LC;EN;Fulica cristata;Fulica cristata;;;N, H;;I;;;;;;Migratory;Listed by AEWA;;AEWA;;;;;Yes;Fulica cristata;Yes;Fulica cristata;Yes;Fulica cristata;
Fulica atra;Common Coot;1877;LC;LC;Fulica atra;Fulica atra;;;N, H + M + W;;;II/A;;;III/B;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Fulica atra;Yes;Fulica atra;Yes;Fulica atra;
Anthropoides virgo;Demoiselle Crane;1902;LC;NE;Anthropoides virgo;Grus virgo;;;M;;;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;II;B;Yes;Grus virgo;Yes;Anthropoides virgo;Yes;Grus virgo;
Grus grus;Common Crane;1905;LC;LC;Grus grus;Grus grus;;;N, H + M + W;;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;II;A;Yes;Grus grus;Yes;Grus grus;Yes;Grus grus;
Tetrax tetrax;Little Bustard;1908;NT;VU;Tetrax tetrax;Tetrax tetrax;;;N, H;;I;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;II;A;Yes;Tetrax tetrax;Yes;Tetrax tetrax;Yes;Tetrax tetrax;
Otis tarda;Great Bustard;1909;VU;LC;Otis tarda;Otis tarda;;;N, H;;I;;;;;;Migratory;Listed by CMS and AEMLAP;I/II;;;AEMLAP;II;A;Yes;Otis tarda;Yes;Otis tarda;Yes;Otis tarda;
Chlamydotis undulata;African Houbara;1910;VU;NT;Chlamydotis undulata;Chlamydotis undulata;;;N, H;;I;;;;;;Migratory;Listed by CMS and AEMLAP;I;;;AEMLAP;I;A;Yes;Chlamydotis undulata;Yes;Chlamydotis undulata;Yes;Chlamydotis undulata;
Gavia stellata;Red-throated Loon;1958;LC;LC;Gavia stellata;Gavia stellata;;;N, H + W;;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Gavia stellata;Yes;Gavia stellata;Yes;Gavia stellata;
Gavia arctica;Arctic Loon;1959;LC;LC;Gavia arctica;Gavia arctica;;;N, H + W;;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Gavia arctica;Yes;Gavia arctica;Yes;Gavia arctica;
Gavia immer;Common Loon;1961;LC;VU;Gavia immer;Gavia immer;;;(N) + M + W;;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Gavia immer;Yes;Gavia immer;Yes;Gavia immer;
Gavia adamsii;Yellow-billed Loon;1962;NT;NE;Gavia adamsii;Gavia adamsii;;;W;;;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Gavia adamsii;Yes;Gavia adamsii;Yes;Gavia adamsii;
Oceanites oceanicus;Wilson's Storm-petrel;1981;LC;NE;Oceanites oceanicus;Oceanites oceanicus;;;M;;;;;;;;Migratory;Not listed by CMS or ACAP, but a regular non-breeding migrant to the EU;;;;;;;Yes;Oceanites oceanicus;Yes;Oceanites oceanicus;Yes;Oceanites oceanicus;
Pelagodroma marina;White-faced Storm-petrel;1985;LC;EN;Pelagodroma marina;Pelagodroma marina;;;N, H;;I;;;;;;Migratory;Not listed by CMS or ACAP, but a regular breeding migrant to the EU;;;;;;;Yes;Pelagodroma marina;Yes;Pelagodroma marina;Yes;Pelagodroma marina;
Hydrobates pelagicus;European Storm-petrel;1990;LC;LC;Hydrobates pelagicus;Hydrobates pelagicus;;;N + M;;I;;;;;;Migratory;Not listed by CMS or ACAP, but a regular breeding migrant to the EU;;;;;;;Yes;Hydrobates pelagicus;Yes;Hydrobates pelagicus;Yes;Hydrobates pelagicus;
Hydrobates castro;Band-rumped Storm-petrel;1991;LC;LC;Oceanodroma castro;Oceanodroma castro;Genus change;;N;Oceanodroma castro;I;;;;;;Migratory;Not listed by CMS or ACAP, but a regular breeding migrant to the EU;;;;;;;Yes;Oceanodroma castro;Yes;Oceanodroma castro;Yes;Hydrobates castro;
Hydrobates monteiroi;Monteiro's Storm-petrel;1992;VU;VU;Oceanodroma castro;Oceanodroma castro;Split;;N, H;Oceanodroma castro;I *;;;;;* Recently split from O. castro;Non-migratory;;;;;;;;Yes;Oceanodroma monteiroi;Yes;Oceanodroma monteiroi;Yes;Hydrobates monteiroi;
Hydrobates leucorhous;Leach's Storm-petrel;1998;VU;VU;Oceanodroma leucorhoa;Oceanodroma leucorhoa;Genus change;;N + M;Oceanodroma leucorhoa;I;;;;;;Migratory;Not listed by CMS or ACAP, but a regular breeding migrant to the EU;;;;;;;Yes;Oceanodroma leucorhoa;Yes;Oceanodroma leucorhoa;Yes;Hydrobates leucorhous;
Fulmarus glacialis;Northern Fulmar;2029;LC;VU;Fulmarus glacialis;Fulmarus glacialis;;;N, H + M + W;;;;;;;;Migratory;Not listed by CMS or ACAP, but a regular breeding migrant to the EU;;;;;;;Yes;Fulmarus glacialis;Yes;Fulmarus glacialis;Yes;Fulmarus glacialis;
