"country","region","region_orig","regionhash","speciescode","speciesname","assessment_speciescode","assessment_speciesname","tax_group","presence","annex_II_priority","annex_II","annex_IV","annex_V","comments_annex_II","comments_annex_IV","comments_annex_V"
"PL","CON","CON","4414b7b8f62ced44c17ee9a15bfa162c",1040,"Stylurus flavipes",1040,"Stylurus flavipes","Arthropods","1","N","N","Y","N","","",""
"ES","MED","MED","4431d3f23ce83fc6fe69b408b934311d",1368,"Capra pyrenaica",1368,"Capra pyrenaica","Mammals","1","N","N","N","Y","","",""
"ES","MATL","MATL","4439053352d041381cc1edc8f42716db",2030,"Grampus griseus",2030,"Grampus griseus","Mammals","1","N","N","Y-HTL","N","","",""
"ES","MATL","MATL","449879bf69ef2429ea50eab4a8c81139",1377,"Phymatholithon calcareum",1377,"Phymatholithon calcareum","Non-vascular plants","1","N","N","N","Y","","",""
"SK","ALP","ALP","44a652339de201c7e6147579e1ddfc1a",4116,"Tozzia carpathica",4116,"Tozzia carpathica","Vascular plants","1","N","Y","Y","N","","",""
"SI","ALP","ALP","44b601f88c58643aa291f0ffba8ac54d",1369,"Rupicapra rupicapra",1369,"Rupicapra rupicapra","Mammals","1","N","N","N","Y","","",""
"UK","ATL","ATL","44bd96fb266da83f8cb0314b1dacc4f8",1096,"Lampetra planeri",1096,"Lampetra planeri","Fish","1","N","Y","N","N","Annex II : except the Estonian, Finnish, and Swedish populations","",""
"IT","ALP","ALP","44ea27b03e32e68094921314f9eef8f9",1902,"Cypripedium calceolus",1902,"Cypripedium calceolus","Vascular plants","1","N","Y","Y","N","","",""
"FR","MATL","MATL","450054e5f0049aa796cedde221d616e3",1377,"Phymatholithon calcareum",1377,"Phymatholithon calcareum","Non-vascular plants","1","N","N","N","Y","","",""
"CZ","CON","CON","4541a34fb630af8eef4a4822a4e26d71",1396,"Notothylas orbicularis",1396,"Notothylas orbicularis","Non-vascular plants","1","N","Y","N","N","","",""
"DK","CON","CON","4563d84a3293e2d28370147b5e35189b",1309,"Pipistrellus pipistrellus",1309,"Pipistrellus pipistrellus","Mammals","1","N","N","Y-HTL","N","","",""
"FR","CON","CON","45695c2a35204aa5af861d5009feb17f",1361,"Lynx lynx",1361,"Lynx lynx","Mammals","1","N","Y","Y","N","Annex II : except the Estonian, Latvian and Finnish populations","Annex IV : except the Estonian population","Annex V : Estonian population"
"BG","CON","CON","456bfbdab3d70d6ded271d5cc816790d",1845,"Fritillaria gussichiae",1845,"Fritillaria gussichiae","Vascular plants","1","N","N","Y","N","","",""
"CZ","CON","CON","457abfca29116345362d0f805e4f91ca",1203,"Hyla arborea",1203,"Hyla arborea","Amphibians","1","N","N","Y","N","","",""
"RO","PAN","PAN","458af85cbfc3a2c3a14f4d82e55ffd7b",1034,"Hirudo medicinalis",1034,"Hirudo medicinalis","Other invertebrates","1","N","N","N","Y","","",""
"SI","CON","CON","458d5d0ec27789b8d89d4cd50d4aa89a",4026,"Rhysodes sulcatus",4026,"Rhysodes sulcatus","Arthropods","1","N","Y","N","N","","",""
"AT","ALP","ALP","45be90f72aec10e2895c6723cabc82fc",1295,"Vipera ammodytes",1295,"Vipera ammodytes","Reptiles","1","N","N","Y","N","","",""
"LT","BOR","BOR","4604cbafd5515fd43d47c7c032ddff6e",1477,"Pulsatilla patens",1477,"Pulsatilla patens","Vascular plants","1","N","Y","Y","N","","",""
"IE","MATL","MATL","4609072182572d298f4ed5e79deed770",2032,"Lagenorhynchus albirostris",2032,"Lagenorhynchus albirostris","Mammals","1","N","N","Y-HTL","N","","",""
